author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
CENTURY 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/310315585/;Москва;sale;flat;3;27;2;78.0;37490000;Очаково-Матвеевское;Мичуринский проспект;80;Озёрная;
MR Group;developer;https://www.cian.ru/sale/flat/309818466/;Москва;sale;flat;34;59;2;40.6;16820580;Можайский;;;Давыдково;Сет ЖК
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/310228648/;Москва;sale;flat;2;28;2;67.3;35700000;Раменки;Винницкая ;8к4;Раменки;Настоящее
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308335219/;Москва;sale;flat;15;23;2;100.8;40000000;Раменки; Пырьева;9к2;Поклонная;
Основа;developer;https://www.cian.ru/sale/flat/301642000/;Москва;sale;flat;15;29;2;56.1;19550850;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/313052337/;Москва;sale;flat;21;24;2;52.0;27000000;Арбат; Новый Арбат;10;Арбатская;
CENTURY 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/310510859/;Москва;sale;flat;10;17;1;49.0;19999000;Левобережный;Беломорская ;22;Беломорская;Белый парк
Среда;developer;https://www.cian.ru/sale/flat/311682670/;Москва;sale;flat;8;13;2;53.1;20684361;Очаково-Матвеевское;Очаково мкр;к5.1;Аминьевская;Среда на Лобачевского ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/312294020/;Москва;sale;flat;2;4;2;73.0;70000000;Тверской;1-й Колобовский переулок;16С1;Трубная;
Виктория Аз-зари;realtor;https://www.cian.ru/sale/flat/310795781/;Москва;sale;flat;15;25;2;45.7;23990000;Покровское-Стрешнево;Волоколамское шоссе;81/2с3;Трикотажная;Апартаментный комплекс Level Стрешнево
Среда;developer;https://www.cian.ru/sale/flat/309580877/;Москва;sale;flat;8;27;1;38.6;17292954;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/309712400/;Москва;sale;flat;12;20;2;64.1;25465424;Даниловский;Автозаводская ;26/1;Тульская;FORST
V I B E;real_estate_agent;https://www.cian.ru/sale/flat/309729690/;Москва;sale;flat;2;18;1;41.0;24500000;Беговой;Ленинградский проспект;29к3;Динамо;Царская площадь
Сумма Элементов;developer;https://www.cian.ru/sale/flat/309379306/;Москва;sale;flat;63;85;2;81.54;65834652;Пресненский;Московский международный деловой центр Москва-Сити тер.;;;Дом Дау
EXCLUSIVE CITY;real_estate_agent;https://www.cian.ru/sale/flat/303591678/;Москва;sale;flat;72;79;2;80.0;85000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/311777605/;Москва;sale;flat;16;26;2;60.0;35000000;Черемушки;Херсонская ;43;Зюзино;Розмарин
Основа;developer;https://www.cian.ru/sale/flat/293005988/;Москва;sale;flat;9;29;1;50.4;17866800;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/289514736/;Москва;sale;flat;2;5;2;64.0;215000000;Хамовники;Пречистенская набережная;43;Кропоткинская;Carré Blanc
Евгений Попов;realtor;https://www.cian.ru/sale/flat/312219623/;Москва;sale;flat;4;5;2;43.7;16990000;Южное Тушино;Парусный проезд;9;Сходненская;
MR Group;developer;https://www.cian.ru/sale/flat/308167041/;Москва;sale;flat;18;28;2;57.3;21430200;Покровское-Стрешнево;Парус кв-л;;Тушинская;Ситизен ЖК
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/304963966/;Москва;sale;flat;3;12;2;65.6;82000000;Раменки;Мосфильмовская ;1к5;Ломоносовский проспект;Вишневый сад
Dominanta;developer;https://www.cian.ru/sale/flat/304842050/;Москва;sale;flat;6;34;1;42.7;29804600;Раменки;проезд 4-й Сетуньский;10Ас2;Парк Победы;hideOUT
MR Group;developer;https://www.cian.ru/sale/flat/310433402/;Москва;sale;flat;32;59;2;60.2;24868620;Можайский;;;Давыдково;Веер ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/292267406/;Москва;sale;flat;3;6;2;49.0;64000000;Хамовники;Зубовская ;7;Парк Культуры;Roza Rossa
Екатерина Колесникова;realtor;https://www.cian.ru/sale/flat/311580968/;Москва;sale;flat;8;9;2;44.0;16700000;Фили-Давыдково;Кременчугская ;22;Давыдково;
Основа;developer;https://www.cian.ru/sale/flat/301641904/;Москва;sale;flat;10;29;2;50.0;17510000;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
Lars real estate;real_estate_agent;https://www.cian.ru/sale/flat/312513594/;Москва;sale;flat;14;34;1;51.0;41000000;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/312709970/;Москва;sale;flat;12;12;2;38.2;17000000;Тверской;Новолесная ;7К2;Белорусская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196226/;Москва;sale;flat;9;17;2;78.0;35362236;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308091340/;Москва;sale;flat;3;6;2;49.0;65000000;Хамовники;Зубовская ;7;Парк Культуры;Roza Rossa
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/307310479/;Москва;sale;flat;7;20;2;74.32;28658000;Даниловский;Автозаводская ;26/1;Тульская;FORST
Колди;developer;https://www.cian.ru/sale/flat/302241111/;Москва;sale;flat;12;21;1;38.59;12823071;Нижегородский;Автомобильный проезд;4;Калитники;N’ICE LOFT
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/305326721/;Москва;sale;flat;3;12;2;66.0;82000000;Раменки;Мосфильмовская ;1к5;Ломоносовский проспект;Вишневый сад
ID 12945247;homeowner;https://www.cian.ru/sale/flat/308517916/;Москва;sale;flat;25;25;1;44.0;14600000;; Саларьевская;16к5;Саларьево;
MR Group;developer;https://www.cian.ru/sale/flat/300289263/;Москва;sale;flat;39;54;2;57.6;32676480;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/299655879/;Москва;sale;flat;14;24;2;46.0;31000000;Очаково-Матвеевское;Нежинская ;5к2;Матвеевская;Городские резиденции SPIRES
AR Realty - Real Estate Agency;real_estate_agent;https://www.cian.ru/sale/flat/312635197/;Москва;sale;flat;8;34;2;52.0;42000000;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Capital Group;developer;https://www.cian.ru/sale/flat/288136857/;Москва;sale;flat;59;85;2;80.6;73305501;Пресненский;1-й Красногвардейский проезд;21с2;Москва-Сити;МФК ОКО
ANWIN;real_estate_agent;https://www.cian.ru/sale/flat/310718303/;Москва;sale;flat;3;13;1;63.0;120000000;Хамовники; Усачева;15;Спортивная;Садовые кварталы
VESPER;developer;https://www.cian.ru/sale/flat/289484543/;Москва;sale;flat;9;9;2;101.0;208812450;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/301956535/;Москва;sale;flat;2;6;2;137.6;235214880;Таганский;Серебряническая набережная;19;Чкаловская;АртХаус
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/309247752/;Москва;sale;flat;3;22;1;20.8;9500000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Квартал-М;real_estate_agent;https://www.cian.ru/sale/flat/312770564/;Москва;sale;flat;9;9;2;45.9;15000000;Богородское;бульвар Маршала Рокоссовского;38;Бульвар Рокоссовского;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/312880851/;Москва;sale;flat;39;58;1;37.5;26800000;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение;Wellton Towers
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/311743721/;Москва;sale;flat;14;24;2;57.0;30900000;Хорошево-Мневники;проспект Маршала Жукова;39к6;Народное Ополчение;Wellton park
Главстрой;developer;https://www.cian.ru/sale/flat/296921092/;Москва;sale;flat;2;26;2;74.6;;Филевский парк;Береговой проезд;2;Фили;Береговой-2
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/307966942/;Москва;sale;flat;22;24;2;66.8;35500000;Хорошево-Мневники; Народного Ополчения;11;Народное Ополчение;Wellton park
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/309321335/;Москва;sale;flat;2;9;2;68.0;38000000;Даниловский;Автозаводская ;23с931к3;Технопарк;WOW
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/312412721/;Москва;sale;flat;6;7;2;60.0;40000000;Дорогомилово;Большая Дорогомиловская ;5;Киевская;
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/287688964/;Москва;sale;flat;3;5;1;46.3;41670000;Замоскворечье;Озерковская набережная;6;Новокузнецкая;Bogenhouse
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/311419797/;Москва;sale;flat;2;4;2;54.2;45000000;Замоскворечье;2-й Раушский переулок;3;Новокузнецкая;
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/312778133/;Москва;sale;flat;5;14;2;50.1;11500000;; 3-я Нововатутинская;15к2;Кедровая;Новые Ватутинки, мкр. Центральный
EMPIRE HOME;real_estate_agent;https://www.cian.ru/sale/flat/312278776/;Москва;sale;flat;5;12;2;47.6;11950000;Царицыно;Кавказский бульвар;29К1;Царицыно;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/312917381/;Москва;sale;flat;4;9;2;44.2;13800000;Чертаново Северное;Сумская ;6К1;Южная;
Основа;developer;https://www.cian.ru/sale/flat/286346396/;Москва;sale;flat;3;29;1;44.1;14698530;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/313047702/;Москва;sale;flat;16;20;2;48.0;20250000;Покровское-Стрешнево;Волоколамское шоссе;95/2к4;Трикотажная;City Bay
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/312687869/;Москва;sale;flat;9;26;1;31.0;26000000;Пресненский;к2.1;к2.1;Белорусская;Репаблик ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/312637553/;Москва;sale;flat;6;23;1;43.7;27200000;Хорошево-Мневники; Нижние Мневники;16к1;Терехово ;Остров
CENTURY 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/294673569/;Москва;sale;flat;3;29;2;49.4;29000000;Хорошево-Мневники;Шелепихинская набережная;40к3;Народное Ополчение;Sydney City
Главстрой;developer;https://www.cian.ru/sale/flat/296921186/;Москва;sale;flat;8;26;2;67.1;32848402;Филевский парк;Береговой проезд;2;Фили;Береговой-2
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/309685138/;Москва;sale;flat;18;27;2;56.4;20200000;Гольяново;Амурская ;1Ак1;Локомотив;Level Амурская
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/312984146/;Москва;sale;flat;10;33;1;39.8;20500000;Филевский парк;Береговой проезд;5к1;Фили;Фили Град
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/312542610/;Москва;sale;flat;36;41;1;45.8;22900000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/300226527/;Москва;sale;flat;20;46;2;44.0;25100000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/308768570/;Москва;sale;flat;14;48;1;42.0;25000000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/305624792/;Москва;sale;flat;9;37;2;45.0;25400000;Останкинский; Годовикова;11к2;Алексеевская;iLove
CENTURY 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/312709944/;Москва;sale;flat;12;23;1;45.0;25750000;Хорошево-Мневники; Нижние Мневники;16к3;Терехово ;Остров
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/292552746/;Москва;sale;flat;28;47;2;53.2;25650000;Хорошево-Мневники; Генерала Глаголева;14Ак1;Бульвар Генерала Карбышева;CRYSTAL Трилогия
CENTURY 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/311274671/;Москва;sale;flat;2;23;1;43.2;25999000;Хорошево-Мневники; Нижние Мневники;16к1;Терехово ;Остров
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/311156138/;Москва;sale;flat;6;13;1;47.4;26800000;Хорошево-Мневники; Нижние Мневники;9;Терехово ;Остров
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/309640290/;Москва;sale;flat;7;26;2;72.6;27500000;Лефортово; Крузенштерна;12к2;Авиамоторная;Символ
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/307261299/;Москва;sale;flat;5;41;2;66.0;29300000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/311477045/;Москва;sale;flat;27;42;2;61.1;30000000;Филевский парк;Багратионовский проезд;5Ак1;Фили;Filicity
CENTURY 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/311113098/;Москва;sale;flat;7;10;2;50.8;30000000;Хорошево-Мневники; Нижние Мневники;9;Терехово ;Остров
CENTURY 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/300111482/;Москва;sale;flat;22;26;2;67.0;29990000;Покровское-Стрешнево;;к6;Спартак;Алиа ЖК
